dataset,seed,num_points,dimensions,algorithm,eta,covering_number,runtime_seconds
MNIST_Subset,69,5000,784,Greedy,14.850430735410795,1,0.06046271800005343
MNIST_Subset,69,5000,784,Uncovered-First,14.32118203227121,1,0.0031618920002074447
MNIST_Subset,69,5000,784,Farthest-First,14.32118203227121,1,0.0003939669986721128
MNIST_Subset,69,5000,784,Greedy,14.32118203227121,1,0.0563936439993995
MNIST_Subset,69,5000,784,Uncovered-First,13.791933329131627,2,0.003358336000019335
MNIST_Subset,69,5000,784,Farthest-First,13.791933329131627,2,0.0005864009999640984
MNIST_Subset,69,5000,784,Greedy,13.791933329131627,1,0.06750465400000394
MNIST_Subset,69,5000,784,Uncovered-First,13.262684625992044,3,0.005545705000258749
MNIST_Subset,69,5000,784,Farthest-First,13.262684625992044,4,0.0006007270003465237
MNIST_Subset,69,5000,784,Greedy,13.262684625992044,1,0.06566432700128644
MNIST_Subset,69,5000,784,Uncovered-First,12.733435922852461,4,0.003114741000899812
MNIST_Subset,69,5000,784,Farthest-First,12.733435922852461,4,0.0004231650000292575
MNIST_Subset,69,5000,784,Greedy,12.733435922852461,1,0.06049006200009899
MNIST_Subset,69,5000,784,Uncovered-First,12.204187219712878,5,0.0038343440010066843
MNIST_Subset,69,5000,784,Farthest-First,12.204187219712878,5,0.00046483900041494053
MNIST_Subset,69,5000,784,Greedy,12.204187219712878,4,0.05676134399982402
MNIST_Subset,69,5000,784,Uncovered-First,11.674938516573294,9,0.003929754999262514
MNIST_Subset,69,5000,784,Farthest-First,11.674938516573294,9,0.000530195000465028
MNIST_Subset,69,5000,784,Greedy,11.674938516573294,7,0.05621938300100737
MNIST_Subset,69,5000,784,Uncovered-First,11.14568981343371,15,0.0030583579991798615
MNIST_Subset,69,5000,784,Farthest-First,11.14568981343371,14,0.000527451000380097
MNIST_Subset,69,5000,784,Greedy,11.14568981343371,14,0.05850661499971466
MNIST_Subset,69,5000,784,Uncovered-First,10.616441110294128,21,0.003181306999977096
MNIST_Subset,69,5000,784,Farthest-First,10.616441110294128,25,0.0007397030003630789
MNIST_Subset,69,5000,784,Greedy,10.616441110294128,21,0.05969179600106145
MNIST_Subset,69,5000,784,Uncovered-First,10.087192407154543,42,0.0042495719990256475
MNIST_Subset,69,5000,784,Farthest-First,10.087192407154543,48,0.0010827900005097035
MNIST_Subset,69,5000,784,Greedy,10.087192407154543,36,0.058034747000419884
MNIST_Subset,69,5000,784,Uncovered-First,9.55794370401496,66,0.003993344000264187
MNIST_Subset,69,5000,784,Farthest-First,9.55794370401496,76,0.001717654000458424
